Index:,Author:,Date and Time:,Tweet Content:,Number of Likes:,Number of Retweets:,Number of Discussions:
0,neiltholt,2021-05-07 23:29:41,"@5harath Any tips on how you’d go about it? 

The second one isn’t great, but books like The Lean Startup recommend going right for the kill with the meeting request, so I see how people struggle 💀",0,0,
1,zippy1981,2021-05-06 23:14:26,"@jdanton @AirborneGeek Google docs makes a docx just fine 99% of the time. When I work in startup land an office license is a special request because they pay for Google docs. 

Of course if it's my resume I'm at least checking the export in office 365.",0,0,
2,scottsambucci,2021-05-06 23:14:00,"I'm running a live workshop for B2B #startup Founders that want to grow from 6-figure ARR to 7-figure ARR in the next 12-24 months.

I'm limiting this training to TEN (10), and ONLY 10 B2B founders.

If you'd like to request a spot, 👇 comment ""GROW"" belo…https://t.co/dGO6iiWzM2",0,0,
3,seedscout,2021-05-06 18:25:07,"- Startup Name: (Redacted)
-  Date scouted: May 5th, 2021
- Sector: Fintech
- MoM revenue growth rate: 123%
- 3 month avg revenue: $19,000

Find this deal on the Seedscout platform. Request an intro to this founder in under 2 minutes. DM us for a payment link.",0,1,
4,seedscout,2021-05-06 18:23:04,"- Startup name: (Redacted)
- Date scouted: April 21st, 2021
- Sector: MarTech (Marketing Tools)
- MoM revenue growth rate: 125%
- 3 month avg revenue: $23,300

Find this deal on the Seedscout platform. Request an intro to the founder in 2 minutes. DM us for a payment link.",0,0,
5,willwearing,2021-05-06 15:21:32,Request for startup: Personal details API. I move a fair bit (and with remote becoming more acceptable I expect this 'people moving a lot' will increase) and want to be able to update *all* interested parties within portal.,0,0,
6,mengxilu,2021-05-06 15:02:07,"Request for startup: “Segment for money system ledgers” - reconcile and sync ledger data from money movement, payments, accounting etc software, standardize the snapshot financial data, convert it into time series data (and vise verse), and expose it via API",78,4,
7,jasminecrowe,2021-05-06 14:54:17,"Got a LinkedIn connection request and in the note they said: 

What are your plans when your startup fails? Don’t die with your company I help founders plan for failure and I’d love to connect. 

This is not it. https://t.co/VByDKjruo3",67,2,
8,WorldOfEyome,2021-05-05 19:23:19,"Investors,

If you're skeptical about a local entrepreneur or startup, scared they'll up &amp; run w/ your money, open a shared/joint account.

Then request reports of previous work &amp; plans for future work for every time s/he requests withdrawal.

Thank me later, you welcome.",0,0,
9,WilliamOckhamTx,2021-05-05 17:38:35,"@_cartermp I haven't done any VB in, oh 15 years, but that's where I started and low friction startup fits the Zen of VB even more than C#. Oh well, this isn't a request for action on your part, more of a nostalgia trip for me",1,0,
10,threadreaderapp,2021-05-05 12:51:44,"@davidslifka Salam, you can read it here: Request for startup or small business: I send you an essay, or a blog… https://t.co/lHSz7v49lV Enjoy :) 🤖",0,0,
11,Conaw,2021-05-05 07:15:47,"Request for startup or small business:

I send you an essay, or a blog post, or some moderate length text

you send me a Dropbox link with audio file of decent reading

As in 1 take from medium skill voice actor who can pronounce (or look up pronunciation for technical terms)",108,6,
12,MayankP74373191,2021-05-05 06:13:45,"The prepreg fibers with superior strength and lightweight are vital for the aircraft manufacturing industry. #Business #startup #marketresearch 

Learn More @ https://t.co/mWmHcVsVUv https://t.co/elHwfPXZO7",0,0,
13,likeMych,2021-05-05 03:54:22,"I've seen it posted jokingly, but I'm curious, has any VC ever posted a request for startup and then funded a company surfaced from or born of said request?",2,1,
14,kudoreview,2021-05-04 17:35:00,"Small business owner tip:

You can use a review request tool like Kudo to automate your customer review request process.

With just a few minutes per day, you can get your customers to do some of your marketing for you!

#SmallBiz #Startup #StartupOwner

https://t.co/AMMlsXPn3L",1,0,
15,jacobrogelberg,2021-05-04 16:32:17,"Request for Startup: App for Dads—

One app that has my: 
- kids’ current school &amp; address

- pictures of where their clothing is and current size (bonus points for seasonality) 

- foods not easily seen in the fridge 

Who is building this?",4,0,
16,smartclasstz,2021-05-04 13:25:41,"We turned our passion into a career and we leverage #technology to fuel the passion.

We have built a leading peer-to-peer #edtech startup ( social e-learning platform for anyone under the age of 25; who can request experts on demand.

Team @smartclasstz #edtech 🇹🇿 https://t.co/S0em4GVIjl",4,1,
17,dumaloreto,2021-05-04 13:20:49,"We turned our passion into a career and we leverage #technology to fuel the passion.

We have built a leading peer-to-peer #edtech startup ( social e-learning platform for anyone under the age of 25; who can request experts on demand.

Team @smartclasstz #edtech 🇹🇿 https://t.co/ZwyXSJti3c",65,19,
18,AruneshDwived10,2021-05-04 07:51:15,@TVMohandasPai dear Mohan sir I am Lt Col Arunesh Dwivedi looking for an angel investment for my startup NatureIndustries wherein we will be manufacturing chips and other food products..... request if you could help,0,0,
19,Web_Biz_Success,2021-05-04 07:03:15,Why It's Time For The Request For Proposal Process To Evolve https://t.co/rTCUJLeF2p #GrowthHacking #Leadership #Startup #BusinessGrowth #Entrepreneur #SmallBusiness #Marketing,1,1,
20,MayankP74373191,2021-05-04 06:29:41,"Para nitrochlorobenzene is one of the primary raw materials used for the manufacturing of paracetamol, which is the most common generic medicine globally. #business #startup 

Learn More @ https://t.co/Rd8DS7hRH0 https://t.co/e3iFj3YZyo",0,1,
21,AnshSri80142473,2021-05-04 06:27:19,"#dear_investor
I have have great startup ideas but I not able to start coz lack of money and invastor.

I request you to share your contact ways . So I will contact you for sharing ideas and make your profit 😉.

@MoneyManInvest @startupcrack @TwitrInvestors @StartUp_Invest",0,0,
22,SymbolOfFlight,2021-05-04 06:17:10,"Request for AI startup:

Convert Manga into Anime.🥰

Is anyone working on this?",1,0,
23,AnshSri80142473,2021-05-04 06:01:18,"#dear_investor
I have have great startup ideas but I not able to start coz lack of money and invastor.

I request you to share your contact ways . So I will contact you for sharing ideas and make your profit 😉.

@ActiveInvestor_ @IBDinvestors @InvestInUp",0,0,
24,enkryptoz,2021-05-04 05:54:58,"Want to Build a Crypto Exchange Business like Wazirx?
Connect to chat: https://t.co/AdZv6Rbi56
Visit us: https://t.co/SO0gCwBnRV
Request for a Free Quote: https://t.co/cU1ueIN8D2

#enkryptoz
#cryptocurrency
#security
#startup
#CryptoCurrencyExchange
#wazirxclonescript https://t.co/mm0N3W2mNI",1,1,
